TOTAL VEHÍCULOS,,TOTAL EMPRESAS,,TOTAL CONTRATOS,,,,,,,,,,
172,,7,,12,,,BÚSQUEDA DE VEHÍCULOS,,,,,,,
,,,,,,,"Buscador (Unit, VIN, Tag):",1F66F5KNXM0A05147,,,,,,
Terminal,Ciudad,Entity ID,Empresa,Contract Number,Cantidad,Contrato viejo ,Vehicle Make,Vehicle Year,Body Type,VIN,Tag,City,Contract,Entity ID
345,Key West,V0026937,Tequesta Carrier,C8892419,12,,FORD,2021,WALK IN P1200,1F66F5KNXM0A05147,66AZGT,Miami Trieste,C8894066,V0019195
331,Miami Trieste,V0019195,Trieste Express,C8894066,26,,,,,,,,,
331,Miami Turnberry,V0025257,Turnberry Trucking,C8894067,16,,,,,,,,,
338,WPB,V0026063,Tamanaco Delivery,C8892686,13,,,,,,,,,
336,Tampa,V0026937,Tequesta Carrier,C8891367,19,,,,,,,,,
302,Atlanta 302,V0028698,Tibidabo Parcel,C8890137,20,,,,,,,,,
307,Atlanta 307,V0028698,Tibidabo Parcel,C8888487,0,,,,,,,,,
302,Atlanta Turnberry,V0025257,Turnberry Trucking,C8889009,19,,,,,,,,,
311,East Point,V0028698,Tibidabo Parcel,C8888098,6,252,,,,,,,,
337,St Petersburg,V0028131,Toppino Shipping,C8891349,20,,,,,,,,,
336,Tampa Turnberry,V0025257,Turnberry Trucking,C8891368,7,,,,,,,,,
302,,V0034706,Lagasca capital Inc,C8892685,14,,,,,,,,,
,,,,,,,,,,,,,,
#,Unit No.,Vehicle Make,Vehicle Year,Body Type,VIN,Tag,City,Contract,Entity ID:,,,,,
35,206464,FREIGHTLINER,2018,STRAIGHT TRUCK,3ALACWFCXJDJX6924,DQ01PU,Miami Trieste,C8894066,V0019195,,,,,
36,206470,FREIGHTLINER,2016,STRAIGHT TRUCK,1FVACWDT0GHHR9669,DT68SY,Miami Turnberry,C8894067,V0025257,,,,,
37,206472,FREIGHTLINER,2018,STRAIGHT TRUCK,3ALACWFC7JDJX6928,DQ14PU,Miami Trieste,C8894066,V0019195,,,,,
1,470519,FREIGHTLINER,2021,WALK IN P1200,4UZAC3GA2MCMX7203,T4AVQA,WPB,C8892686,V0026063,,,,,
2,473841,FORD,2021,WALK IN P1200,1F66F5KN3M0A05149,63AZGT,WPB,C8892686,V0026063,,,,,
3,473843,FORD,2021,WALK IN P1200,1F66F5KN8M0A05146,67AZGT,WPB,C8892686,V0026063,,,,,
4,473844,FORD,2021,WALK IN P1200,1F66F5KN6M0A05145,68AZGT,WPB,C8892686,V0026063,,,,,
5,473845,FORD,2021,WALK IN P1200,1F66F5KN7M0A05140,70AZGT,WPB,C8892686,V0026063,,,,,
6,476075,FORD,2021,BOX P1000,1F65F5KN9M0A13106,85BQSA,WPB,C8892686,V0026063,,,,,
7,476074,FORD,2021,WALK IN P1000,1F65F5KN7M0A13105,82BQSA,WPB,C8892686,V0026063,,,,,
8,476073,FORD,2021,WALK IN P1000,1F65F5KN5M0A13104,84BQSA,WPB,C8892686,V0026063,,,,,
9,475181,FORD,2021,WALK IN P1000,1F65F5KN3M0A13103,81BQSA,WPB,C8892686,V0026063,,,,,
10,477999,FORD,2021,BOX P1000,1F65F5KN9M0A13039,80BQSA,WPB,C8892686,V0026063,,,,,
11,476071,FORD,2021,WALK IN P1000,1F65F5KN5M0A13037,83BQSA,WPB,C8892686,V0026063,,,,,
12,476068,FORD,2021,WALK IN P1000,1F65F5KN3M0A13036,79BQSA,WPB,C8892686,V0026063,,,,,
1,437293,FORD,2020,CARGO P450,1FTBW3X82LKA63498,89BQSC,Key West,C8892419,V0026937,,,,,
2,474397,FORD,2022,WALK IN P1000,1FC3E4KK9NDC12884,QTVZ29,Key West,C8892419,V0026937,,,,,
3,474401,FORD,2022,BOX P1000,1FC3E4KKXNDC13977,QTVZ30,Key West,C8892419,V0026937,,,,,
4,472899,FORD,2022,WALK IN P1000,1FC3E4KK9NDC11282,54BHDI,Key West,C8892419,V0026937,,,,,
5,469908,FORD,2021,WALK IN P1000,1FC3E4KK2MDC30528,53BHDI,Key West,C8892419,V0026937,,,,,
6,475614,FORD,2021,WALK IN P1000,1FC3E4KK7MDC30525,52BHDI,Key West,C8892419,V0026937,,,,,
7,475615,FORD,2021,WALK IN P1000,1FC3E4KK8MDC29772,51BHDI,Key West,C8892419,V0026937,,,,,
8,475796,FORD,2022,BOX P1000,1FC3E4KK3NDC31382,50BHDI,Key West,C8892419,V0026937,,,,,
9,460154,FORD,2022,BOX P1000,1FC3E4KK5NDC31383,48BHDI,Key West,C8892419,V0026937,,,,,
10,475797,FORD,2022,BOX P1000,1FC3E4KK7NDC31384,49BHDI,Key West,C8892419,V0026937,,,,,
11,445649,FORD,2022,BOX P1000,1FC3E4KK5NDC11294,46BHDI,Key West,C8892419,V0026937,,,,,
12,475553,FORD,2022,BOX P1000,1FC3E4KK1NDC11292,47BHDI,Key West,C8892419,V0026937,,,,,
13,476436,FORD,2021,BOX P1200,1F66F5KNXM0A11739,25BQSA,Miami Trieste,C8894066,V0019195,,,,,
1,440734,FORD,2020,SPRINTER P350,1FTBW3X89LKB13264,AX47ZN,Tampa,C8891367,V0026937,,,,,
2,478226,FORD,2021,BOX P1000,1F65F5KN4M0A12431,07BYXF,Tampa,C8891367,V0026937,,,,,
3,478227,FORD,2021,BOX P1000,1F65F5KN6M0A12432,07BYXI,Tampa,C8891367,V0026937,,,,,
4,478228,FORD,2021,BOX P1000,1F65F5KN8M0A12433,08BYXI,Tampa,C8891367,V0026937,,,,,
5,478230,FORD,2021,BOX P1000,1F65F5KN1M0A12435,09BYXI,Tampa,C8891367,V0026937,,,,,
6,478231,FORD,2021,BOX P1000,1F65F5KN5M0A12437,10BYXI,Tampa,C8891367,V0026937,,,,,
7,478559,FORD,2021,WALK IN P1000,1F65F5KN5M0A16777,09BYXQ,Tampa,C8891367,V0026937,,,,,
8,478563,FORD,2021,BOX P1100,1F65F5KN1M0A16694,10BYXQ,,No encontrado,No encontrado,,,,,
9,205740,FORD,2023,STRAIGHT TRUCK,1FDNF6AN7PDF02018,P4516H,Tampa,C8891367,V0026937,,,,,
10,504034,FORD,2022,WALK IN P1000,1F65F5KN5N0A04789,BX77CP,Tampa,C8891367,V0026937,,,,,
11,206115,FREIGHTLINER,2018,STRAIGHT TRUCK,3ALACXFC1JDJW8250,RHTT60,Tampa,C8891367,V0026937,,,,,
12,530335,FORD,2022,BOX P1200,1F66F5KNXN0A09863,RQPN90,Tampa,C8891367,V0026937,,,,,
13,530334,FORD,2022,BOX P1200,1F66F5KN7N0A01963,RQPN92,Tampa,C8891367,V0026937,,,,,
14,530303,FORD,2022,BOX P1200,1F66F5KN1N0A09301,RQPN91,Tampa,C8891367,V0026937,,,,,
15,535793,FORD,2023,WALK IN P1200,1F66F5KNXP0A05248,DM76HL,Tampa,C8891367,V0026937,,,,,
16,535797,FORD,2023,BOX P1200,1F66F5KN3P0A05253,DM77HL,Tampa,C8891367,V0026937,,,,,
1,14447,INTERNATIONAL,2003,STRAIGHT TRUCK,1HTMMAAM73H589635,FCJC18,St Petersburg,C8891349,V0028131,,,,,
2,400618,FREIGHTLINER,1998,BOX P1000,4UZA4FF45WC911756,FCJC16,St Petersburg,C8891349,V0028131,,,,,
